playlist_genre,Average Loudness,Average Mode,Average Speechiness,Average Acousticness,Average Instrumentalness,Average Liveness,Average Valence,Average Tempo,Average Duration (minutes)
edm,-5.427445143140824,0.5201059076617575,0.08669548237630316,0.08150359532351481,0.21857789519609466,0.21185867946384246,0.4006555187820619,125.76802432566606,3.709014305808373
latin,-6.264454704170708,0.5619786614936955,0.10265315227934045,0.21092044900096996,0.04444698068089234,0.180625676042677,0.6055104267701261,118.6223536372454,3.614390782411898
pop,-6.315328127837298,0.5881605229707645,0.07399126566188487,0.17079366716542582,0.05987629295805339,0.17683319411657888,0.5035210277828218,120.74317831850371,3.6294684038496454
r&b,-7.864847910145461,0.5214509298471737,0.11679213772785858,0.25990374844411707,0.02892032691769471,0.1752676486834837,0.531230602099061,114.22215558828945,3.959991496348125
rap,-7.042269404803341,0.5214061956143404,0.19750588235294117,0.19247867936999652,0.07599720175078316,0.19165443090845807,0.5050900104420466,120.65490758788724,3.569398152337858
rock,-7.588894970712987,0.7002625732175318,0.05769567764088063,0.145188901539083,0.0624173257725712,0.20313518481114926,0.5373520500908907,124.98878590183803,4.142941671716152
